0,0,0
0,4,1
0,9,2
0,13,3
0,18,4
0,22,5
0,23,6
0,27,7
0,30,8
0,31,9
0,32,10
0,35,11
0,37,12
0,42,13
0,43,14
4,4,15
4,9,16
4,13,17
4,18,18
4,22,19
4,23,20
4,27,21
4,30,22
4,31,23
4,32,24
4,35,25
4,37,26
4,42,27
4,43,28
9,9,29
9,13,30
9,18,31
9,22,32
9,23,33
9,27,34
9,30,35
9,31,36
9,32,37
9,35,38
9,37,39
9,42,40
9,43,41
13,13,42
13,18,43
13,22,44
13,23,45
13,27,46
13,30,47
13,31,48
13,32,49
13,35,50
13,37,51
13,42,52
13,43,53
18,18,54
18,22,55
18,23,56
18,27,57
18,30,58
18,31,59
18,32,60
18,35,61
18,37,62
18,42,63
18,43,64
22,22,65
22,27,66
22,30,67
22,31,68
22,32,69
22,35,70
22,37,71
22,42,72
22,43,73
23,23,74
23,27,75
23,31,76
23,32,77
23,37,78
23,42,79
27,27,80
27,30,81
27,31,82
27,32,83
27,35,84
27,37,85
27,42,86
27,43,87
30,30,88
30,32,89
30,37,90
30,42,91
31,31,92
31,32,93
31,35,94
31,37,95
31,42,96
31,43,97
32,32,98
32,37,99
32,42,100
32,43,101
35,35,102
35,37,103
35,42,104
37,37,105
37,42,106
37,43,107
42,42,108
43,43,109
